@timestamp,@billedDuration,@duration,@initDuration,,,,
28:51.8,103,102.56,162.4,,,,
40:36.0,86,85.62,164.38,,,,
52:08.3,91,90.43,167.73,,,,
03:39.9,103,102.14,160.18,,,,
15:19.6,87,86.55,156.67,,,,
26:56.5,103,102.92,166.88,,,,
38:30.9,93,92.49,161.52,,,,
50:03.3,98,97.24,160.67,,,97.3,119
01:38.1,113,112.94,164.33,,,,
13:08.6,95,94.03,164.05,,,,
24:41.3,99,98.58,163.37,,,,
36:13.2,100,99.75,162.55,,,,
47:45.3,94,93.52,156.22,,,,
59:15.3,69,68.75,156.95,,,,
10:46.0,119,118.27,163.89,,,,
22:31.7,119,118.21,167.98,,,,
34:06.2,92,91.06,162.95,,,,
45:39.1,86,85.52,175.53,,,,
57:15.2,104,103.38,159.11,,,,
08:47.0,92,91.56,158.78,,,,
