@timestamp,@billedDuration,@duration,@initDuration,total,487.8005,510.1365
13:39.2,77,76.48,403.31,480.31,,
26:39.3,75,74.87,405.27,480.27,,
39:37.7,71,70.43,397.34,468.34,,
52:32.5,85,84.42,399.26,484.26,,
05:26.4,70,70,406.08,476.08,,
18:22.6,83,82.63,409.79,492.79,,
31:07.4,88,87.76,421.41,509.41,,
43:47.6,85,84.88,400.92,485.92,,
56:34.0,78,77.26,394.57,472.57,,
09:40.1,83,82.2,405.64,488.64,,
22:25.9,70,69.84,402.17,472.17,,
35:20.6,78,77.25,410.63,488.63,,
48:21.8,85,84.29,399.51,484.51,,
01:08.6,84,83.58,425.74,509.74,,
14:11.9,84,83.08,416.7,500.7,,
26:57.9,99,98.55,402.39,501.39,,
39:42.2,99,98.5,418.67,517.67,,
52:22.5,86,85.84,400.76,486.76,,
05:26.9,73,72.56,399.28,472.28,,
18:10.5,83,83,400.57,483.57,,
