@timestamp,@billedDuration,@duration,@initDuration,total,5013.6355,5152.8295
11:04.6,4642,4641.9,436.57,5078.57,,
24:12.6,4453,4452.93,440.71,4893.71,,
37:10.6,4662,4661.57,446.41,5108.41,,
50:11.0,4625,4624.45,437.15,5062.15,,
03:09.3,4706,4705.44,445.71,5151.71,,
16:00.7,4502,4501.63,439.78,4941.78,,
28:55.7,4535,4534.02,434.99,4969.99,,
41:39.4,4659,4658.52,430.7,5089.7,4572.9,4706.85
54:24.5,4459,4458.38,442.68,4901.68,,
07:21.5,4582,4581.8,443.16,5025.16,,
32:58.3,4551,4550.7,432.91,4983.91,,
46:04.9,4510,4509.86,429.09,4939.09,,
59:00.6,4521,4520.08,439.69,4960.69,,
11:42.2,4492,4491.51,427.37,4919.37,,
24:44.9,4553,4552.22,441.06,4994.06,,
37:30.6,4562,4561.05,447.58,5009.58,,
50:15.2,4595,4594.95,451.23,5046.23,,
02:54.7,4565,4564.68,441.59,5006.59,,
16:00.9,4723,4722.29,451.1,5174.1,,
28:43.5,4561,4560.05,455.23,5016.23,,
