@timestamp,@billedDuration,@duration,@initDuration,total,328.506,347.4095
54:00.3,174,173.49,159.4,333.4,,
05:42.1,180,179.6,162.98,342.98,,
17:15.6,181,180.59,166.3,347.3,,
28:51.1,163,162.16,160.06,323.06,,
40:33.8,153,152.23,157.73,310.73,,
52:06.3,149,148.22,156.03,305.03,,
03:39.1,150,149.03,164.84,314.84,,
15:18.9,154,153.21,161.89,315.89,,
26:55.3,173,172.79,160.14,333.14,,
38:28.7,180,179.22,161.84,341.84,,
50:02.4,178,177.22,163.91,341.91,,
01:36.9,171,170.76,166.56,337.56,,
13:06.7,160,159.91,158.74,318.74,,
24:39.6,154,153.9,159.72,313.72,,
36:11.8,178,177.12,165.16,343.16,,
47:44.2,158,157.37,161.19,319.19,,
59:13.8,164,163.89,158.7,322.7,,
10:44.4,177,176.73,172.49,349.49,,
22:31.2,160,159.22,160.82,320.82,,
34:04.1,174,173.6,160.62,334.62,,
